Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,Record,RecordText,RecordP,CulmPrec,dateInYear,month_name
6,2,51,63,52,69,43,1954,91,1989,0,0.1,1961,2011-06-02,FALSE,NA,FALSE,0.15,153,Jun
8,26,56,69,56,73,48,1945,89,1993,0,0.01,2006,2011-08-26,FALSE,NA,FALSE,0,238,Aug
12,17,39,55,44,56,30,1965,67,1958,0,1.26,2005,2011-12-17,FALSE,NA,FALSE,0.13,351,Dec
1,28,46,53,45,57,33,1975,69,1984,0,1.04,1981,2011-01-28,FALSE,NA,FALSE,0.6299999999999999,28,Jan
8,10,53,72,56,72,47,1951,87,2009,0,0,NA,2011-08-10,FALSE,NA,FALSE,0,222,Aug
5,28,50,64,52,68,45,1955,92,1984,0,0.41,1998,2011-05-28,FALSE,NA,FALSE,0.4,148,May
10,1,61,73,55,73,42,1950,97,1980,0,0.34,1976,2011-10-01,FALSE,NA,FALSE,0,274,Oct
7,27,55,73,55,71,48,1951,86,1967,0,0,NA,2011-07-27,FALSE,NA,FALSE,0,208,Jul
12,7,39,55,45,58,33,1960,69,1979,0,1.86,1997,2011-12-07,FALSE,NA,FALSE,0,341,Dec
3,1,40,59,46,60,35,1955,74,1959,0.02,1.06,1974,2011-03-01,FALSE,NA,FALSE,0.02,60,Mar
6,4,55,66,52,69,45,1962,92,1955,0.66,0.66,2011,2011-06-04,FALSE,NA,TRUE,0.97,155,Jun
11,24,48,56,47,61,32,1952,75,1959,0.13,1.47,1985,2011-11-24,FALSE,NA,FALSE,1.5499999999999998,328,Nov
11,27,47,57,47,60,37,1952,69,2002,0,1.11,1970,2011-11-27,FALSE,NA,FALSE,1.5499999999999998,331,Nov
1,12,48,55,44,56,32,1963,70,2009,0,1.56,1993,2011-01-12,FALSE,NA,FALSE,0.4799999999999999,12,Jan
11,16,47,62,49,63,38,1958,73,2008,0,0.91,1996,2011-11-16,FALSE,NA,FALSE,0.93,320,Nov
12,26,39,52,44,56,32,1954,72,1967,0,1.46,1948,2011-12-26,FALSE,NA,FALSE,0.13,360,Dec
9,7,52,86,56,74,50,1960,93,1957,0,0,NA,2011-09-07,FALSE,NA,FALSE,0,250,Sep
9,1,54,71,56,74,49,1981,94,1955,0,0.07,2000,2011-09-01,FALSE,NA,FALSE,0,244,Sep
1,26,46,65,45,57,30,1949,66,1984,0,1.52,1983,2011-01-26,FALSE,NA,FALSE,0.6299999999999999,26,Jan
10,30,52,74,51,68,39,1971,83,1949,0,1.03,1945,2011-10-30,FALSE,NA,FALSE,1.1800000000000002,303,Oct
6,27,53,65,54,71,48,1965,97,2003,0,0.05,1991,2011-06-27,FALSE,NA,FALSE,0.97,178,Jun
7,10,53,69,54,71,47,1953,97,1959,0,0,NA,2011-07-10,FALSE,NA,FALSE,0,191,Jul
9,26,53,73,55,73,46,1948,95,1958,0,0.27,1972,2011-09-26,FALSE,NA,FALSE,0.01,269,Sep
10,8,52,70,54,72,43,1946,94,1996,0,0.23,1973,2011-10-08,FALSE,NA,FALSE,1.12,281,Oct
6,5,55,66,52,69,46,1962,89,1972,0,0.02,1994,2011-06-05,FALSE,NA,FALSE,0.97,156,Jun
7,24,56,72,55,71,50,2009,90,1974,0,0,NA,2011-07-24,FALSE,NA,FALSE,0,205,Jul
6,18,52,69,53,70,44,1952,88,1981,0,0.14,1974,2011-06-18,FALSE,NA,FALSE,0.97,169,Jun
9,2,55,74,56,74,49,1946,93,1950,0,0,NA,2011-09-02,FALSE,NA,FALSE,0,245,Sep
3,23,48,56,47,62,39,1994,73,1970,0.42,1.51,1958,2011-03-23,FALSE,NA,FALSE,3.5900000000000003,82,Mar
4,7,45,53,48,64,39,1965,89,1989,0.04,0.58,1950,2011-04-07,FALSE,NA,FALSE,0.04,97,Apr
4,6,47,59,48,63,38,1975,89,1989,0,1.46,1967,2011-04-06,FALSE,NA,FALSE,0,96,Apr
6,26,53,69,54,71,45,1950,96,2003,0,0,NA,2011-06-26,FALSE,NA,FALSE,0.97,177,Jun
7,9,52,66,54,71,47,1953,94,1959,0,0.01,1945,2011-07-09,FALSE,NA,FALSE,0,190,Jul
2,25,39,53,46,60,35,1953,74,1992,0.65,1.46,2004,2011-02-25,FALSE,NA,FALSE,4.790000000000001,56,Feb
8,31,54,70,56,74,48,1957,89,2005,0,0.01,1964,2011-08-31,FALSE,NA,FALSE,0,243,Aug
9,6,52,73,56,74,47,1950,94,2004,0,0.02,1969,2011-09-06,FALSE,NA,FALSE,0,249,Sep
10,27,48,72,52,68,42,1954,86,2003,0,0.83,1981,2011-10-27,FALSE,NA,FALSE,1.1800000000000002,300,Oct
4,1,54,78,47,63,37,1976,83,1959,0,1.22,1974,2011-04-01,FALSE,NA,FALSE,0,91,Apr
11,10,45,63,50,64,39,1978,82,1955,0,1.1,1964,2011-11-10,FALSE,NA,FALSE,0.46,314,Nov
7,7,53,69,54,71,49,1955,85,1985,0,0,NA,2011-07-07,FALSE,NA,FALSE,0,188,Jul
11,30,48,64,46,59,31,1954,71,1959,0,2.39,1973,2011-11-30,FALSE,NA,FALSE,1.5499999999999998,334,Nov
9,16,56,66,56,74,49,2006,90,1968,0,0.88,1989,2011-09-16,FALSE,NA,FALSE,0,259,Sep
12,25,36,52,44,56,31,1990,68,1967,0,1.23,1968,2011-12-25,FALSE,NA,FALSE,0.13,359,Dec
4,11,49,62,48,64,38,1967,84,1988,0,0.92,2010,2011-04-11,FALSE,NA,FALSE,0.04,101,Apr
9,13,57,70,56,74,47,1947,101,1971,0,0.27,2009,2011-09-13,FALSE,NA,FALSE,0,256,Sep
9,28,61,90,55,73,47,1947,95,2010,0,0.17,1976,2011-09-28,FALSE,NA,FALSE,0.01,271,Sep
1,2,48,51,44,56,29,1960,69,1996,0.35,1.67,1977,2011-01-02,FALSE,NA,FALSE,0.43999999999999995,2,Jan
1,3,45,53,44,56,31,1950,69,2000,0,1.33,1974,2011-01-03,FALSE,NA,FALSE,0.43999999999999995,3,Jan
6,28,55,62,54,71,46,1954,94,1976,0.52,0.52,2011,2011-06-28,FALSE,NA,TRUE,1.49,179,Jun
8,11,54,68,56,72,48,1951,84,1959,0,0.29,1965,2011-08-11,FALSE,NA,FALSE,0,223,Aug
10,5,53,64,55,72,47,2009,99,1987,0.68,0.68,2011,2011-10-05,FALSE,NA,TRUE,1.1,278,Oct
